event_name	tweet_id	image_id	tweet_text	image	label	label_text	label_image	label_text_image	new_cate
california_wildfires	920116683779346432	920116683779346432_0	California Wildfire Neighbors Spare Some, But Neighborhoods Are Decimated https://t.co/kPSTC2iKz7 https://t.co/t8tPRlWfEJ	data_image/california_wildfires/17_10_2017/920116683779346432_0.jpg	infrastructure_and_utility_damage	infrastructure_and_utility_damage	infrastructure_and_utility_damage	Positive	damage_report
hurricane_harvey	907428428755951616	907428428755951616_0	Former NASCAR driver Kenny Wallace visits area to help some Hurricane Harvey victims https://t.co/ITOezq2JK3 #NASCAR https://t.co/vDV4ZxjND6	data_image/hurricane_harvey/12_9_2017/907428428755951616_0.jpg	rescue_volunteering_or_donation_effort	rescue_volunteering_or_donation_effort	not_humanitarian	Negative	emergency_response
hurricane_irma	910223844492894210	910223844492894210_0	RT @wsbtv: Atlanta Humane Society creates makeshift shelter for four-legged Irma refugees https://t.co/O0zpPIYibA https://t.co/W27yQlZNID	data_image/hurricane_irma/19_9_2017/910223844492894210_0.jpg	not_humanitarian	rescue_volunteering_or_donation_effort	not_humanitarian	Negative	emergency_response
hurricane_harvey	907305881867603968	907305881867603968_0	Voted NO on #Harvey aid ...#Irma https://t.co/q22gODMeFb	data_image/hurricane_harvey/11_9_2017/907305881867603968_0.jpg	other_relevant_information	not_humanitarian	other_relevant_information	Negative	irrelevant
hurricane_maria	912042078745485312	912042078745485312_0	RT @SimonStormRider: HUGE difference between tree damage in #HurricaneIrma vs #HurricaneMaria @JustonStrmRider https://t.co/znEGBCo1QK	data_image/hurricane_maria/24_9_2017/912042078745485312_0.jpg	infrastructure_and_utility_damage	other_relevant_information	infrastructure_and_utility_damage	Negative	information_share
mexico_earthquake	910671450754789378	910671450754789378_0	In Passaic, an outpouring of concern after Mexico earthquake https://t.co/mcgF5vWdLJ https://t.co/M141LH5Sz0	data_image/mexico_earthquake/21_9_2017/910671450754789378_0.jpg	rescue_volunteering_or_donation_effort	other_relevant_information	rescue_volunteering_or_donation_effort	Negative	information_share
hurricane_irma	910153025280282625	910153025280282625_0	FIU closes Biscayne Bay dorm due to water damage left by Hurricane Irma https://t.co/kQhTDZSt9f https://t.co/0iwh7uErfu	data_image/hurricane_irma/19_9_2017/910153025280282625_0.jpg	not_humanitarian	infrastructure_and_utility_damage	not_humanitarian	Negative	damage_report
hurricane_harvey	909197945710551042	909197945710551042_1	3x13 ~ 4x13 ~ 7x10 donna's the only person who knows what kind of gift harvey would like to get https://t.co/ChT9rXwG20	data_image/hurricane_harvey/16_9_2017/909197945710551042_1.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive	irrelevant
hurricane_harvey	901780000189423616	901780000189423616_0	https://t.co/wgVUF8tkDl Stop screwing around and send in Navy Amphibous AmTracks #HurricaneHarvey https://t.co/cjV86lrX23	data_image/hurricane_harvey/27_8_2017/901780000189423616_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive	irrelevant
hurricane_harvey	906983956553322502	906983956553322502_0	@HoustonTexans pleaae help me share this story of a family in need of help after harvey took everything https://t.co/IXNszFdYkP	data_image/hurricane_harvey/10_9_2017/906983956553322502_0.jpg	not_humanitarian	affected_individuals	not_humanitarian	Negative	emergency_response
