text,image_path,label
"Cab parking in Hoboken, NJ flooded by #Sandy - found this 2 be 1 of the most dramatic pics of the storm. SVP http://t.co/NyCNFQbW",images_train/sandy_real_120.jpg,irrelevant
#HurricaneSandy is here http://t.co/Rc2cvkvZ,images_train/sandy_fake_43.jpg,misinformation
"RT @HealthyFla: Expect to lose power before, during and after #Irma! View image for #FoodSafety tips. #FLprepares https://t.co/0aJSele9Ks",data_image/hurricane_irma/10_9_2017/906927951253401600_0.jpg,relief_info
6 more ways Hurricane Irma will cost Floridians https://t.co/94msUkD8ai via @usatoday https://t.co/uOsz6lW7rV,data_image/hurricane_irma/18_9_2017/909869946070605825_1.jpg,urgent_help
Harvey and Irma Make Their Presence Felt ‚Äì Market Update https://t.co/AjZqlIqlcy #finance https://t.co/01Ljbaj4G1,data_image/hurricane_irma/19_9_2017/910005587496157184_0.png,irrelevant
http://t.co/TTcLPjXHVs investigación bombas Boston #4chan,images_train/boston_fake_03.jpg,misinformation
The Booming Mexico City Neighborhoods Shaken by the Earthquake https://t.co/eDQTJhIVR8 https://t.co/1Qm12Tut1T,data_image/mexico_earthquake/24_9_2017/912050610396188672_0.jpg,relief_info
Tree fell from #hurricane #Irma. #OddlySatisfying #PicsBae via https://t.co/NOhfVtYh3H https://t.co/W82IzllJnD,data_image/hurricane_irma/19_9_2017/910147498873950208_0.jpg,urgent_help
Hereâ€™s How to Help the Victims of Mexicoâ€™s 7.1-Magnitude Earthquake https://t.co/NSCAjHMARd https://t.co/5ertBBGPR4,data_image/mexico_earthquake/20_9_2017/910553151215988740_0.jpg,irrelevant
The beginning of #2012 #Sandy http://t.co/ji8p5Eci,images_train/sandy_fake_21.jpg,misinformation
THE FAMILY. @fentybeauty by @rihanna drops at all Harvey Nichols stores and online at 8am tomorrow #FENTYBEAUTYxHN https://t.co/XjYNf2h3GW,data_image/hurricane_harvey/7_9_2017/905847526963720192_0.jpg,relief_info
"Over 320 Dead, Thousands Injured in Major Quake From The Weather Channel iPhone App https://t.co/ZSht84EMSE https://t.co/jOKDLPKUIY",data_image/iraq_iran_earthquake/13_11_2017/930050951020531712_0.jpg,urgent_help
#waterworld #nycflood2012 #sandy #hurricane http://t.co/51g2JwRM,images_train/sandy_real_120.jpg,irrelevant
Hello Hurricane Sandy http://t.co/RLtuiwOZ,images_train/sandy_fake_43.jpg,misinformation
".@CenturyLink offers free call forwarding, waives late fees, and more for #Florida customers impacted by #Irma‚Ä¶ https://t.co/ViK4k9OPh9",data_image/hurricane_irma/18_9_2017/909774325305225216_0.jpg,relief_info
Big earthquake in my Iran. Help them to stand up soon. https://t.co/LiNKO2Cftj,data_image/iraq_iran_earthquake/13_11_2017/930151625032740865_2.jpg,urgent_help
Nepal's historic Dharahara Tower collapses in massive earthquake http://t.co/qSdF2aobpy,images_train/nepal_25.jpg,irrelevant
Hurricane Sandy. Wow. This is crazy. #sandy http://t.co/EIhXUe01,images_train/sandy_fake_20.jpg,misinformation
"One week later, fire crews make â€˜tremendous progressâ€™ in Northern California, via @mdbarba https://t.co/hS8AgawU8Q https://t.co/RnUDjKzm3h",data_image/california_wildfires/15_10_2017/919609553603280896_0.jpg,relief_info
RT @9NEWS: President Trump sends $7.9 billion Harvey aid request to Congress https://t.co/DN6O1QXe61 https://t.co/XEjpV2tTJR,data_image/hurricane_harvey/3_9_2017/904238326399475712_0.jpg,urgent_help
It's getting real #sandy http://t.co/Pm7tzieo,images_train/sandy_real_107.jpg,irrelevant
A house in New Jersey. Pretty crazy #HurricaneSandy http://t.co/pNWi2Z5z,images_train/sandy_fake_25.jpg,misinformation
The Thursday 5pm advisories for Maria &amp; Lee. Lee is now a category 1 hurricane. #SpectrumNews #ncwx #Maria #Lee https://t.co/nKvpPWGv76,data_image/hurricane_maria/28_9_2017/913530736233328642_0.jpg,relief_info
Back in Florida. Will head home in a couple days. Missing Puerto Rico already. @Nix_km https://t.co/FPAo0FqmUo,data_image/hurricane_maria/20_10_2017/921443803457781766_1.jpg,urgent_help
"“@adagamov: Taxi Terminal in Hoboken, NJ http://t.co/NAgbY2zv” #Sandy",images_train/sandy_real_120.jpg,irrelevant
"The Tomb of the Unknowns is guarded 24 hours a day, 365 days a year since 1937. Even Sandy couldnt stop them! US marine http://t.co/FZnDhL39",images_train/sandy_fake_15.jpg,misinformation
RT @GrantJKidney: Deadly California wildfire caught on film... https://t.co/0FuzDzUC4p,data_image/california_wildfires/10_10_2017/917850510400589824_0.jpg,relief_info
Learning from Hurricane Irma &amp; Harvey ‚Äì Climate Change Preparedness ‚Äì Part 1 https://t.co/i6znwUBjZ6‚Ä¶ https://t.co/xolqxlu2iO,data_image/hurricane_irma/19_9_2017/910118463884185600_0.jpg,urgent_help
Outskirts of Sadrith Mora #ESO #Morrowind https://t.co/2DFL1maTZ6,data_image/srilanka_floods/3_6_2017/871037159326830592_0.jpg,irrelevant
#hurricanesandy hits nyc http://t.co/eybWHWMc,images_train/sandy_fake_43.jpg,misinformation
The devastating #wildfires in California still not letting up. Details right now at 5:30 #ABC11 https://t.co/61S0Rb0lbu,data_image/california_wildfires/11_10_2017/918046279120408576_0.jpg,relief_info
San Antonio News Hundreds of Harvey evacuees staying at shelters in San Antonio - WOAI https://t.co/LMFyS1iFnU https://t.co/XWrabAeHQ3,data_image/hurricane_harvey/27_8_2017/901713406926888961_0.jpg,urgent_help
Mexico earthquake: Praise for those who raced to help others https://t.co/YzNx5JmTSR https://t.co/h0vYeSEyN0,data_image/mexico_earthquake/20_9_2017/910524470338609153_0.jpg,irrelevant
"“@joemccann: A shark swimming in Brigantine, NJ. WTF. http://t.co/9ehnqhoS #Sandy”\n\nSans lasers.",images_train/sandy_fake_26.jpg,misinformation
RT @CDCgov: Learn how to protect your health during a wildfire: https://t.co/ijz1UTVDcU https://t.co/e3XsqwbMFC,data_image/california_wildfires/22_10_2017/921975972085280769_0.jpg,relief_info
National News: Dozens of pot farms burn down in California wildfires https://t.co/QTzZcBRoVT https://t.co/89Yjs1vQTW,data_image/california_wildfires/20_10_2017/921467337458401280_0.jpg,urgent_help
"Thoughts w/ all impacted by storm, grateful most safe. Our view last night #NoSkyline. Remains dark inside too. #Sandy http://t.co/qkSPDsA2",images_train/sandy_real_46.jpg,irrelevant
D'après #TMTP cette photo était un fake!! RT: Un requin nage entre les maisons du New Jersey! #Sandy #NYC #2012 #Crazy http://t.co/YU3OjJZV,images_train/sandy_fake_25.jpg,misinformation
RT @SpaceCityWX: Flooding begins as worst of TS Harvey’s moisture moves into Houston https://t.co/FtVem0Zp4j https://t.co/sFNiWgPn1K,data_image/hurricane_harvey/27_8_2017/901650538433044481_0.jpg,relief_info
California wildfires released a year's worth of car pollution in a week https://t.co/m92sxUZSsZ https://t.co/95j7MhWXlE,data_image/california_wildfires/15_10_2017/919627708476350465_0.jpg,urgent_help
Congratulations to The Harvey Family on your purchase! https://t.co/Y23ibjgH9S #carcorral2 https://t.co/JYpWu8e70v,data_image/hurricane_harvey/8_9_2017/906258097676599296_0.jpg,irrelevant
“@OfflcialCNN: BREAKING: Malaysian Flight 370 has been found in bay. http://t.co/ggNWzq9pey http://t.co/sTgT0DggZ7” the plane was bigger,images_train/malaysia_fake_13.jpg,misinformation
@cheryllabbate @AM2DM @BuzzFeedNews @cwarzel @annehelen Not by FEMA. Puerto Rico hired them. https://t.co/KWXsKn3FNI https://t.co/QrMRoKFGu6,data_image/hurricane_maria/25_10_2017/923202733347352579_0.jpg,relief_info
Cowboys are saving livestock after #HurricaneHarvey hit Check it out: https://t.co/rdSuJuTFi1 https://t.co/skZcoPSIMI,data_image/hurricane_harvey/8_9_2017/906015518213062657_0.jpg,urgent_help
Mexico City @rtppt reporting from EUROVISION #LivePositions #MexicoEarthquake : https://t.co/R6Rpic45DA https://t.co/2PsIJKolwb,data_image/mexico_earthquake/24_9_2017/911861625895911424_1.jpg,irrelevant
"Classic pic, hurricane Sandy and they still protect the Tomb of the Unknown http://t.co/7zVJnXoj",images_train/sandy_fake_16.jpg,misinformation
"Which is common among wildfires in California, Russia, Portugal and Italy? #wildfire https://t.co/05umGNBMSM https://t.co/F4s935nJKq",data_image/california_wildfires/24_10_2017/922785728928665600_1.jpg,relief_info
"Hurricane Irma: Barbuda needs the world's help 'For first time in 300 years, there‚Äôs n https://t.co/mAsa0nUdmB... https://t.co/bC2wskzYTj",data_image/hurricane_irma/18_9_2017/909925028581511168_0.jpg,urgent_help
russellblaymore's photo http://t.co/bTpivFIP #hurricanesandy @cnn,images_train/sandy_real_124.jpg,irrelevant
#pigfish was up http: \/\/t.co\/xCCzla3lmc,images_train/pigFish_01.jpg,misinformation
#HurricaneHarvey &amp; #Houston's myth of the Wild West https://t.co/wVI0MwixIa https://t.co/33Efy0OPRi,data_image/hurricane_harvey/7_9_2017/905800509885489156_0.jpg,relief_info
.@Mazars_USA .@MazarsCareersUS Kerri wearing hat and friend Dawn posing amongst their collection for Harvey victims https://t.co/KJcyChec49,data_image/hurricane_harvey/5_9_2017/905065648530829312_0.jpg,urgent_help
Swiming pool and nordic walk are @ONCOAVANZE projects explained by Matilde Mora in #CATCHITN #QoL #goodHabits https://t.co/dVlXsWA82d,data_image/srilanka_floods/7_6_2017/872575689551208449_0.jpg,irrelevant
Just saw this on twitter!! A shark just chillin down the freeway in NYC  🐬⚡☔☁🌀🗽 #sandy #eastcoast #shark #sc http://t.co/dkKuHMTD,images_train/sandy_fake_46.jpg,misinformation
#HurricaneMaria is 450 miles off of our coast and moving north. https://t.co/IyPGeUHV6A,data_image/hurricane_maria/24_9_2017/911945170572234752_0.jpg,relief_info
4-year-old waves flag for National Guardsmen who helped during #HurricaneHarvey &gt;&gt;&gt; https://t.co/8FyoByvhkd https://t.co/JIzXwdY0uT,data_image/hurricane_harvey/5_9_2017/904968610648657920_0.jpg,urgent_help
После урагана #Сэнди люди помогают друг другу по мелочам #ньюйорк #тайфун #usa #Sandy http://t.co/qaLeYo0q,images_train/sandy_real_71.jpg,irrelevant
A kid bro protects his sister..... #NepalEarthquake http://t.co/pn7muGSrUv,images_train/nepal_01.jpg,misinformation
RT @safetyphoto: Getting ready for Harvey https://t.co/VMVsVJUxs6,data_image/hurricane_harvey/27_8_2017/901709227206598656_0.jpg,relief_info
"#Volunteers are exhausted but this is what we train for. In the time of greatest need, #Redcross is there. #harvey… https://t.co/EP4PghAVyj",data_image/hurricane_irma/19_9_2017/909974478188408832_0.jpg,urgent_help
Wow...World Trade Center Site under flood water: http://t.co/ibLrLMqF #Sandy #Hurricane #NYC,images_train/sandy_real_106.jpg,irrelevant
The guards at the Tomb of the Unknown Soldier say they will stay - despite #sandy http://t.co/xrJtyfMx,images_train/sandy_fake_16.jpg,misinformation
"VIDEO: North Bay #Fire #Tragedies bring out best in: https://t.co/DVrmGMtmWX, https://t.co/pfUCIAhERA https://t.co/oJaw8WWeJM",data_image/california_wildfires/11_10_2017/918047357211742208_0.jpg,relief_info
WFP Presents Food Aid for Cuba for Those Affected by Hurricane Irma https://t.co/pgVnFn0dUM https://t.co/bJ2GfvfQaW,data_image/hurricane_irma/17_9_2017/909447247577751553_0.jpg,urgent_help
A mob of marathoners heading over to Staten Island. No race They're going to help out instead. #sandy http://t.co/UVVU9RpX,images_train/sandy_real_41.jpg,irrelevant
AY CHIAMO!! RT @DeboConfesarQue: El huracán Sandy llevó un tiburón hasta las calles de New Jersey. http://t.co/frV6y6ZD,images_train/sandy_fake_25.jpg,misinformation
#EarlyMorningEveningNews w: @MrEdLover: #HurricaneMaria Heading Towards Islands Hit By #Irma https://t.co/ZelPbzRlbU,data_image/hurricane_irma/18_9_2017/909731060140924928_0.jpg,relief_info
This Seventeen-Year-Old Rescued #Cattle by Helicopter During #Harvey ὀ4 Ὠ1https://t.co/ZLpscv2nqv https://t.co/0QbnamcDql,data_image/hurricane_harvey/19_9_2017/909977356546318336_3.jpg,urgent_help
amazing cover “@jheil @BruceFeiler: This New York Magazine cover of #Sandy will go down in history. ICYMI http://t.co/YU8kEOui”,images_train/sandy_real_59.jpg,irrelevant
berlie0415's photo http://t.co/toEloaGz Real or movie? #sandy #seriousquestion,images_train/sandy_fake_39.jpg,misinformation
Arizona residents returning home from Mexico City talk about the deadly earthquake https://t.co/k3K4Kiqi3t https://t.co/a7xf4z9yjT,data_image/mexico_earthquake/21_9_2017/910766799922323456_0.jpg,relief_info
Arrived @RedCross. You should volunteer. #Harvey #Irma https://t.co/lrPBPhnKUg,data_image/hurricane_harvey/6_9_2017/905288649692127232_1.jpg,urgent_help
RT @JabezLeal: RT to help my teammates out ὤFἿCἼ8#KingwoodHighSchool #HurricaneHarvey #RubTheHoof https://t.co/MXRepdFBGe,data_image/hurricane_harvey/7_9_2017/905777977249681409_2.jpg,irrelevant
"\""@OfficiaI_CNN: Malaysian Airlines \""MH350\"" has been found in bay. http://t.co/E3AZALfFHY http://t.co/WRBZsjlnCy\"" it was MH370 not 350. C'mon",images_train/malaysia_fake_13.jpg,misinformation
CHP Keeps Hospital Running During Hurricane Harvey – DOE EERE Post https://t.co/Yeg0QqlB9I https://t.co/uwe8EXY0Sg,data_image/hurricane_harvey/11_9_2017/907239743523627008_0.jpg,relief_info
#Algeria How social media told story of Iran-Iraq earthquake https://t.co/8PeXeADZFu #الجزائر https://t.co/gTgAqPgDcf,data_image/iraq_iran_earthquake/13_11_2017/930106568116441094_0.jpg,urgent_help
Puerto Rico-a grateful people. á¼ŸAá¼Ÿ8UnitedWeRecoverá¼Ÿ5á¼Ÿ7 https://t.co/VD8Q6LpXhZ,data_image/hurricane_maria/6_11_2017/927514874456035329_0.jpg,irrelevant
Love at its purest #NepalEarthquake http://t.co/zPvqXKoV6E,images_train/nepal_01.jpg,misinformation
"Enjoyed visiting @iHeartMedia @WIOD, hearing about public service during #Irma, &amp; going on air w/ @JimmyCefalo &amp;‚Ä¶ https://t.co/Vq7gj03RTE",data_image/hurricane_irma/19_9_2017/910157159303979009_2.jpg,relief_info
἟5἟7἟5἟7἟5἟7#HurricaneMaria #huracanmaria hato rey https://t.co/NvqYn5Ce7E,data_image/hurricane_maria/24_9_2017/912065374929264640_2.jpg,urgent_help
"Monica Puig: 'Help Puerto Rico,' it's 'in crisis now' https://t.co/HMkkm9bARK #SocialMedia https://t.co/utY6HHwSRc",data_image/hurricane_maria/28_9_2017/913402519031812096_0.jpg,irrelevant
Hilarious if 4chan solves this bombing case. They got tons of these posted. http://t.co/qI9I0YKatR,images_train/boston_fake_26.jpg,misinformation
"Hurricane Maria now a Cat 3, going for Cat 4. Can't imagine what this will do to Irma-ravaged areas. https://t.co/xwC6B1h4Qx",data_image/hurricane_irma/18_9_2017/909813527409459200_0.jpg,relief_info
"Valuable visit 2 Virgin Islands. Meeting w/GOV Mapp, survey of H'cane Irma damage, planning 4 Maria. Thinking of th… https://t.co/uTPD94quXc",data_image/hurricane_irma/19_9_2017/910083935165706241_2.jpg,urgent_help
كارثة النيبال تطال 8 ملايين شخص!\nhttp://t.co/vObq8otWiP\n#NepalEarthquake http://t.co/Q3xDQJFrP6,images_train/nepal_24.jpg,irrelevant
"Wow, Courtney Love Tahu Posisi Pasti Pesawat MH370! http://t.co/2MUeNuPshp http://t.co/hCdhciA6kw",images_train/malaysia_fake_18.jpg,misinformation
USA: California wildfires devastate Silverado Trail wineries https://t.co/42lbiBJvew https://t.co/fpmLDhjX8s,data_image/california_wildfires/10_10_2017/917839185779806208_0.jpg,relief_info
#StormAlert9 possible tornado in Winter Park? Tree uprooted and whole wall collapsed. Weird! https://t.co/QAzbaii9Ht,data_image/hurricane_harvey/11_9_2017/907252873565757441_1.jpg,urgent_help
Floating cabs #Sandy http://t.co/R2BtX8k7,images_train/sandy_real_120.jpg,irrelevant
Le monde mobilisé contre la secte islamiste Boko Haram \n\nBringBackOurGirls http://t.co/k9poUZON7p,images_train/bringback_fake_06.jpg,misinformation
"#PipsHub Breaking: Yes, climate change made Harvey and Irma worse https://t.co/POlm73Sbxw https://t.co/eVKQGOSfgj https://t.co/5xUw5ekRxU",data_image/hurricane_irma/17_9_2017/909394587201998849_0.jpg,relief_info
RT @SenTedCruz: Lifting up the #Refugio residents who were impacted by #Harvey in thoughts &amp; prayers. https://t.co/TK8DW12Hh7,data_image/hurricane_harvey/8_9_2017/906250037629505536_0.jpg,urgent_help
Mapping Photos of Hurricane Maria https://t.co/7OJrzPIDRx https://t.co/NIeKFRgbl9,data_image/hurricane_maria/28_9_2017/913473823701266432_0.jpg,irrelevant
Is Sandy Gone!? (Get #MEME Reader on the Appstore) http://t.co/Krk2GOCW,images_train/sandy_fake_56.jpg,misinformation
@zuttonetsuki @cultofchucky @RealDonMancini Hurricane Maria wont forbid me from watching it tonight. https://t.co/Is9WfuilkO,data_image/hurricane_maria/20_10_2017/921500153437212672_0.jpg,relief_info
RT @CCTV: 23 people killed in wildfires sweeping the Bay Area in California https://t.co/j5ggOPMRNY,data_image/california_wildfires/15_10_2017/919562679404003328_1.jpg,urgent_help
"I'm shocked that the East Village was flooded that badly, wow. #sandy #nyc http://t.co/mQbUelZH",images_train/sandy_real_122.jpg,irrelevant
Damn sandy is about to go HAM over New York #storm #sandy #tropicalstorm #cloudy #rain #cold #newyork #disas http://t.co/PzSaDfCq,images_train/sandy_fake_43.jpg,misinformation
How the Pentagon Spun Hurricane Maria https://t.co/cgIbFxZPgH https://t.co/gWmL8DRENK,data_image/hurricane_maria/24_10_2017/922874812690829312_0.jpg,relief_info
"Tropical Storm Harvey is barely moving, causing MAJOR flooding issues for areas like Houston. https://t.co/1WLMmNBcqZ",data_image/hurricane_harvey/27_8_2017/901759813788602368_0.jpg,urgent_help
EricssenWen: RT WSJ: Dharahara Tower then and now: A history of earthquakes in Nepal http://t.co/ACzJYh2bH5,images_train/nepal_24.jpg,irrelevant
Wild picture of New York this morning! #hurricane #sandy http://t.co/Z2U9jU7z,images_train/sandy_fake_43.jpg,misinformation
RT @ppurpura: A piece of a #Harvey rain band drifts north through Breton Sound. https://t.co/U7au8rhPSN,data_image/hurricane_harvey/17_9_2017/909477113199316997_0.jpg,relief_info
Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT https://t.co/LzDAR9i17Z,data_image/srilanka_floods/31_5_2017/869972354004393987_0.jpg,urgent_help
sandy #thisisreal 😳 http://t.co/NDZRBQyZ,images_train/sandy_real_108.jpg,irrelevant
New York!! #hurricanesandy http://t.co/1OBrpLQW,images_train/sandy_fake_43.jpg,misinformation
Houston: The City with (Almost) No Limits https://t.co/b5WX7RFj5w #hurricaneharvey https://t.co/6MbhwdgfPa,data_image/hurricane_harvey/8_9_2017/905959700570755074_1.jpg,relief_info
Guy Fieri Served Meals for California Fire Survivors https://t.co/Omdlh4ypRw #MDMGRadioNews á¼ºF https://t.co/JesZ6bM96y,data_image/california_wildfires/15_10_2017/919578737653448704_0.jpg,urgent_help
Nepal's historic Dharahara Tower collapses in massive earthquake. http://t.co/cHGUQ6qsj6 … http://t.co/oqLZ4EwTbq,images_train/nepal_25.jpg,irrelevant
La ciudad que nunca duerme... duerme. #sandy #nyc #timessquare http://t.co/qgd2OT0D,images_train/sandy_fake_31.jpg,misinformation
Watch Daredevils Fly Into a Hurricane for Science https://t.co/1NrZKYo5gs https://t.co/Dxk17DJ0xe,data_image/hurricane_irma/17_9_2017/909469891660566528_0.jpg,relief_info
"Busy day, chasing storm damage in Richland Co. A mother and 4 yr-old were sucked out of a home by winds or tornado. https://t.co/l6lxMFgmYx",data_image/hurricane_harvey/5_9_2017/905153821369917440_0.jpg,urgent_help
"The \""other side\""of Sandy not seen on TV &amp; newspaper.The hurricane also struck Cuba,Haïti and the Dominican Republic ! http://t.co/rSwbAsEQ",images_train/sandy_real_22.jpg,irrelevant
#NepalEarthquake roads &amp; heritage sites are also massively damaged. http://t.co/fB5mReuhDk,images_train/nepal_04.jpg,misinformation
Where Did The Napa Fire Begin? Living Things Scour The Ash https://t.co/2j3FhZFrbl https://t.co/OLjuwZYFQk,data_image/california_wildfires/20_10_2017/921473862226849794_0.jpg,relief_info
Iran quake survivors endure second night without shelter see here &gt;&gt; https://t.co/shSuKTzeZc https://t.co/NmJmzZFNhP,data_image/iraq_iran_earthquake/14_11_2017/930314802752258048_0.jpg,urgent_help
Whoah. RT @Belstaff: This picture says it all. #Sandy #newyorkcity http://t.co/p1Hz1oO8,images_train/sandy_real_59.jpg,irrelevant
“@MINDBLOWlNG: A shark was photographed swimming on the road in New Jersey #sandy pic #MB : http://t.co/1AfgmllM” 😳😳😳,images_train/sandy_fake_19.jpg,misinformation
RT @NWSSanJuan: The eye of Hurricane Maria about to make landfall in southeast PR very soon. #prwx #usviwx https://t.co/Z5IGq9kvLr,data_image/hurricane_maria/20_9_2017/910572522986463233_0.jpg,relief_info
RT @Animals1st: California wildfires leave family pets with burns and smoke inhalation https://t.co/hns17DKafC https://t.co/1yaFKgQzRT,data_image/california_wildfires/16_10_2017/919734115364147205_1.jpg,urgent_help
"RT @IndyEleven: á½Œ6 REMINDER: #INDvPRFC has been postponed to Wed., October 4. Details Â» https://t.co/dYAFD1aI34 https://t.co/2cFIlLAZey",data_image/hurricane_maria/23_9_2017/911644237195825152_0.jpg,irrelevant
Wow! This is a picture of Hurricaine sandy! Hope everyone in New York are safe http://t.co/U7muIPmU,images_train/sandy_fake_22.jpg,misinformation
RT @mashable: Surreal astronaut photos show the danger and beauty of Hurricane Maria https://t.co/RykEmh9dd3 https://t.co/wEQAuPWyqy,data_image/hurricane_maria/23_9_2017/911634025844011008_0.jpg,relief_info
RT @OreBobby: How To Avoid Being Scammed Into Buying A Hurricane-Damaged Car https://t.co/5V02IsZAlC #Harvey #Irma https://t.co/EUhnpeffo8,data_image/hurricane_irma/18_9_2017/909792210861694977_0.jpg,urgent_help
@AmericanAir thanks for your response regarding cost of flights. We will hold you to this. #MariaPR #HurricaneMaria https://t.co/Mc7tbs9EYA,data_image/hurricane_maria/25_9_2017/912451378445987840_0.jpg,irrelevant
Nous ce sera un orignal sur le perron! RT @JeanNicGagne: Quand un requin se retrouve sur ton terrain. #Sandy https://t.co/x8WWBUuC,images_train/sandy_fake_25.jpg,misinformation
Signs of corruption emerge from rubble of #MexicoEarthquake #FueraPRI https://t.co/A8flxHOvDr https://t.co/SCtzMPHkZ9,data_image/mexico_earthquake/30_9_2017/914181646383042562_1.jpg,relief_info
Northwell sends 120 volunteers to #Houston for #Harvey recovery. https://t.co/Z00sUvz3zW https://t.co/Gk4ajjteeW,data_image/hurricane_harvey/5_9_2017/904873263184084994_0.jpg,urgent_help
"News 12 NJ #HURRICANESANDY ew, why did I write in caps? http://t.co/uTgSJFuY",images_train/sandy_real_107.jpg,irrelevant
Sharks in Atlantic city #atlanticcity #nj #newjersey #sandy #hurricane #hurricanesandy #sharks #brigantine # http://t.co/xDK01TtJ,images_train/sandy_fake_25.jpg,misinformation
Severe fire weather loosens grip on Southern California https://t.co/0FVigpko5o https://t.co/Q5TgIO4CNN,data_image/california_wildfires/26_10_2017/923641271712874497_0.jpg,relief_info
